scientific,common,family,habitat,c_fert,c_court,c_system,c_choice,mate_choice_index,note,n_images,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Centropyge loricula,Flame angelfish,Pomacanthidae,marine,1,2,2,2,5.83,"haremic, protogynous",25,101.22611691302716,2.188529593330656,0.7671393338344782,0.984313725490196,0.8335150712672327,5.0,30.43688603021844,0.0901182547233926,1.8357173509393645,0.6987951807228916,0.9024099175320164,1.9604040067926547,0.6244043488318297
Genicanthus melanospilos,Swallowtail angelfish,Pomacanthidae,marine,1,2,2,2,5.83,"haremic, sexually dichromatic",25,38.926007519403655,3.1592461436983412,0.2780081201551189,0.5803921568627451,0.0856437002470491,6.0,39.92374305221145,0.1635843981170141,2.3311034103187445,0.5836431226765799,0.8446692577351014,2.870932468201249,0.564097209792574
Poecilia sphenops,Common molly,Poeciliidae,freshwater,3,1,2,2,6.67,livebearer,25,30.353669443561596,2.3464359253849074,0.269291751018434,0.4470588235294118,0.0239249316430524,4.0,34.13477282848632,0.1571818619840462,2.359388154350137,0.5527777777777778,0.8536125453410953,2.6446779120988286,0.5650083612040134
Xiphophorus variatus,Variable platyfish,Poeciliidae,freshwater,3,1,2,2,6.67,"livebearer, female choice",25,51.28950300374245,2.163211862944274,0.4120574624137636,0.7137254901960784,0.1849063765182186,5.0,38.79078878365485,0.1593799682034976,2.6876031564412624,0.5235457063711911,0.8211116752496312,2.542430887161516,0.5835814746146787
Synchiropus ocellatus,Scooter dragonet,Callionymidae,marine,1,2,3,2,6.67,male courtship rise,25,28.32801579319047,3.0295276912921687,0.2740355207039914,0.4745098039215686,0.0366353490131786,6.0,49.106978042220184,0.281384088493485,1.889592984903376,0.6208333333333333,0.7943889438575213,3.1869480298600723,0.5308561546479674
Betta imbellis,Peaceful betta,Osphronemidae,freshwater,2,2,2,2,6.67,"nest, display",25,37.97488042268024,2.3666561032001963,0.4150120530265166,0.6470588235294118,0.132705023941628,5.0,39.07270158242488,0.2344417271964083,1.8597496985971629,0.6775147928994083,0.8332181809208903,2.769475757255068,0.5874359615144321
Thalassoma bifasciatum,Bluehead wrasse,Labridae,marine,1,2,3,2,6.67,"terminal males defend, females choose",25,50.5572426728515,3.063639855719771,0.3922417761845425,0.5843137254901961,0.0801801801801801,5.0,39.87028001913992,0.1349400465310505,3.2841335113493235,0.6,0.8406009768063252,2.5391105580923132,0.51848005845929
Pseudanthias squamipinnis,Sea goldie (anthias),Serranidae,marine,1,2,3,2,6.67,"haremic, protogynous, male courts",25,65.8925653640809,2.9733753129569886,0.4825743974392306,0.6823529411764706,0.2894051237516283,5.0,34.56178309272835,0.1197529130984135,1.7239667517607358,0.7491289198606271,0.7783702992951249,3.713862282874112,0.5783783783783784
Doryrhamphus dactyliophorus,Banded pipefish,Syngnathidae,marine,3,2,1,2,6.67,male brood,25,53.17032305742028,3.3153465576017993,0.4556335141651597,0.7450980392156863,0.2716497597437266,5.0,51.412323713207265,0.2291273139403097,3.843693618954315,0.608433734939759,0.6959809405427801,4.649529064439946,0.3469818181818181
Canthigaster valentini,Valentini puffer,Tetraodontidae,marine,2,2,2,2,6.67,"haremic, male courts",25,38.615219467810626,3.5904923496978123,0.2742680650405328,0.5686274509803921,0.0831434378271848,6.0,54.4286356430314,0.2094653204260782,1.930497304725318,0.5741444866920152,0.8682409395125648,2.1460469333632517,0.5515448341852793
Trichopodus leerii,Pearl gourami,Osphronemidae,freshwater,2,2,2,2,6.67,"bubble nest, display",25,37.804009380862354,2.1058884787079495,0.3155969225260301,0.5294117647058824,0.0418384423854034,5.0,42.44439924370911,0.1876372872048325,2.292937362835631,0.5486725663716814,0.9073734083506072,2.2389287058825027,0.6430217831813576
Trichogaster lalius,Dwarf gourami,Osphronemidae,freshwater,2,2,2,2,6.67,"bubble nest, courts",25,33.50330913876806,2.6342401818406085,0.3491097462960435,0.5764705882352941,0.0752049497293116,6.0,38.905552891992826,0.2477082404241613,2.247788432339147,0.5793650793650794,0.930809126659954,2.2779568541246715,0.6519453906748989
Ancistrus cirrhosus,Bristlenose pleco,Loricariidae,freshwater,2,2,2,2,6.67,"cave, male bristles ornament",25,24.93337736032858,2.1888007425141236,0.3379464676001498,0.5529411764705883,0.0552683063163778,5.0,37.00614958686281,0.2593001402106142,1.762422230235423,1.039426523297491,0.6401907095517144,4.237001961773245,0.4135884420148379
Pseudanthias tuka,Purple anthias,Serranidae,marine,1,2,3,2,6.67,"haremic, male display",25,64.22479475169017,3.0988005794650957,0.4940367899737214,0.6941176470588235,0.2215235617230413,5.0,31.12681105778776,0.0972462930868476,2.679529441667343,0.5909090909090909,0.7697683928770587,3.2139723373044484,0.4608241670652001
Pseudochromis fridmani,Orchid dottyback,Pseudochromidae,marine,2,2,2,2,6.67,"male nest, courts",25,51.18881752051551,2.0831275871113677,0.6035152781720553,0.7294117647058823,0.5874245358241258,4.0,29.201246444523196,0.0807764558547276,2.0613879036537193,0.71875,0.7977953840854288,2.764293076845029,0.5005488119834711
Pictichromis paccagnellae,Royal dottyback,Pseudochromidae,marine,2,2,2,2,6.67,male nest,25,137.87598019707536,2.379333622919667,0.7456895031979859,0.9686274509803922,0.849469701668424,4.0,43.63329008586183,0.0588731695209729,3.207049116712944,0.5708955223880597,0.8225204039286208,2.537203114305235,0.4954499343597088
Macropodus opercularis,Paradise fish,Osphronemidae,freshwater,2,2,2,2,6.67,"bubble nest, display",25,37.281496276958606,2.6626594386675637,0.3927857598764523,0.6235294117647059,0.121177631079748,5.0,28.169528851479388,0.133574937308921,2.753204625586275,0.6402640264026402,0.8781959714308643,2.4547621931724906,0.571516603902773
Gramma loreto,Royal gramma,Grammatidae,marine,2,2,2,2,6.67,"male nest, haremic",25,142.453801044175,2.934510692552502,0.7913572021810567,0.976470588235294,0.8447135772299288,4.0,41.83940097319411,0.1118059792556436,1.919317892266469,0.6526717557251909,0.8226260057225306,2.87888497472037,0.5078660506688408
Pseudanthias dispar,Peach anthias,Serranidae,marine,1,2,3,2,6.67,"haremic, male display",25,73.68717993068024,3.590305672940698,0.5004932469908964,0.7411764705882353,0.3249536268671287,5.0,31.667866705363497,0.0626495044993735,2.8639516571779415,0.5947955390334573,0.7294877742838978,3.545454396348267,0.4313608288503686
Xiphophorus maculatus,Southern platyfish,Poeciliidae,freshwater,3,1,2,2,6.67,"livebearer, female choice",25,35.13492457420769,1.722364504139284,0.3317982456140351,0.4901960784313725,0.0620711562897077,5.0,34.87116194646973,0.139950961612137,2.598065111952273,0.4778761061946903,0.8830452553306741,2.3779722772530567,0.587928899249654
Hippocampus erectus,Lined seahorse,Syngnathidae,marine,3,3,1,2,7.5,"male brood, courtship dance",25,36.6830086972967,2.3236068725933996,0.3621676364798482,0.5725490196078431,0.0730841192867234,5.0,40.21563581819984,0.2492347648641127,1.6114696200528662,0.8658536585365854,0.6789381629429023,4.4341212937663945,0.4778246390198843
Hippocampus reidi,Longsnout seahorse,Syngnathidae,marine,3,3,1,2,7.5,"male brood, courtship",25,43.38406546601962,1.9601641803608816,0.4415403209340136,0.7490196078431373,0.2514067654097406,5.0,41.4452924761292,0.1940120373054168,1.536269137291915,1.1022222222222222,0.7010863093269116,3.816627800079311,0.487066052710157
Tropheus moorii,Blunthead cichlid,Cichlidae,freshwater,3,2,2,2,7.5,"mouthbrooder, male display",25,23.60014702560503,2.6161481929725117,0.2474356290558928,0.4392156862745098,0.0134868421052631,4.0,29.789917305915335,0.131607868996593,2.5290939647730677,0.5904761904761905,0.8888310335850039,2.1287311520698,0.5288783482142857
Nimbochromis venustus,Venustus,Cichlidae,freshwater,3,2,2,2,7.5,mouthbrooder,16,53.53765889313886,2.6787843210435267,0.3830896406920399,0.6137254901960785,0.1182387179430135,5.5,46.35742414423795,0.2473101736615741,2.6395750855768005,0.4534471218206158,0.8571865708685978,2.3672404331593135,0.5666627922246186
Cirrhilabrus rubriventralis,Longfin fairy wrasse,Labridae,marine,1,3,3,2,7.5,male nuptial display,17,62.023856785054015,3.0106222485931786,0.58140681883152,0.8588235294117647,0.4310556824170033,5.0,24.96935096142216,0.1304951732759219,3.814117724167958,0.5094339622641509,0.8809776833156217,2.4201896526755378,0.4371865676379102
Hippocampus kuda,Common seahorse,Syngnathidae,marine,3,3,1,2,7.5,"SEX-ROLE REVERSED: male brood, courtship dance",25,27.18014531596985,2.4020188968881016,0.3131952589831344,0.6039215686274509,0.1013950812598878,5.0,36.687054954795,0.2502832326283988,1.896917283058701,0.868,0.7440805647949726,3.0527499109046645,0.489612577203818
Cirrhilabrus solorensis,Solor fairy wrasse,Labridae,marine,1,3,3,2,7.5,male nuptial flashing,25,66.10790404652457,3.8989206320521896,0.4610209709889749,0.7803921568627451,0.2724835264712565,6.0,27.268051684666247,0.1309133169264424,3.2728864652708936,0.4819277108433735,0.8921151899898795,2.2247849199591005,0.5412149173394848
Synchiropus picturatus,Psychedelic mandarin,Callionymidae,marine,1,3,3,3,8.33,elaborate courtship rise,25,49.81221897070373,3.632881571567289,0.4418951190914285,0.7019607843137254,0.1836945304437564,5.0,35.50837132178608,0.2073204708504562,2.110327360995705,0.7015503875968992,0.8014516129032258,2.68061817564032,0.5156433978132885
Synchiropus splendidus,Mandarinfish,Callionymidae,marine,1,3,3,3,8.33,"spectacular dusk courtship, female picks",25,81.01612755017518,3.64289062269798,0.602943843222591,0.9333333333333332,0.5034958302747325,5.0,38.48301332154046,0.1987027521390149,1.5339770954947844,0.7586206896551724,0.7810776460162545,3.146197832034233,0.5786450253197905
Paracheilinus carpenteri,Carpenter's flasher wrasse,Labridae,marine,1,3,3,3,8.33,males flash intensified nuptial colours,25,83.1344891938806,3.2767916064743585,0.453469915422903,0.6941176470588235,0.2188844559180161,6.0,36.54073859533136,0.1810225062517366,2.029704927935966,0.5985663082437276,0.8229937393284007,2.7560810403675995,0.5242640874684609
Paracheilinus filamentosus,Filamented flasher wrasse,Labridae,marine,1,3,3,3,8.33,male nuptial flashing,25,68.4090986487449,2.9973579577282976,0.3286935805446608,0.5764705882352941,0.058026288905537,5.0,24.943370902034513,0.1127921535893155,2.883999686191528,0.5201465201465202,0.8155523944997629,2.811953652274832,0.4864123334204338
Betta splendens,Siamese fighting fish,Osphronemidae,freshwater,2,3,3,2,8.33,bubble nest + flaring display,25,49.30683584013599,3.048065894188143,0.5501591804254575,0.8901960784313725,0.4324784868365,4.0,42.9833293917236,0.2102838121934127,1.8539164799740784,0.6579804560260586,0.7298151061141339,3.729613217994341,0.5173943732983766
Labeotropheus fuelleborni,Fuelleborni mbuna,Cichlidae,freshwater,3,2,3,2,8.33,male display,25,37.01630602110214,2.2555341186403286,0.2966180423782416,0.4274509803921568,0.0078089113458888,4.0,26.63517735497095,0.120183431600262,2.6475219193546056,0.4933333333333333,0.8717260431054703,2.4257295329369173,0.5855362089434112
Melanochromis auratus,Auratus cichlid,Cichlidae,freshwater,3,2,3,2,8.33,strongly dichromatic,25,45.2404790011648,2.976384199177831,0.3690081064434111,0.6901960784313725,0.1582570236092942,6.0,53.341381565558784,0.2249516153044514,3.009709964384924,0.4960835509138381,0.8137515916194004,3.20546175036988,0.5399560117302052
Maylandia zebra,Zebra mbuna,Cichlidae,freshwater,3,2,3,2,8.33,"male territory display, mouthbrooder",17,46.83452074375396,2.918521590735849,0.325374712162445,0.5098039215686274,0.0507451879563144,6.0,46.71461957920948,0.1945269215464201,2.867066394458765,0.5302197802197802,0.8707467962881131,2.8875129696267994,0.5404535204209471
Poecilia latipinna,Sailfin molly,Poeciliidae,freshwater,3,2,3,2,8.33,"livebearer, male sail display",25,33.34292867536679,1.8602075841656132,0.3170597743709065,0.5058823529411764,0.0541256366723259,5.0,34.586474225925215,0.2849360836722835,2.0858440586996925,0.565359477124183,0.8492634964728243,2.4753339392815716,0.5259167043911273
Gasterosteus aculeatus,Three-spined stickleback,Gasterosteidae,temperate-fw,2,3,2,3,8.33,"essay ex; red belly, nest, dance",25,32.796471235989856,1.7636002729067857,0.3667821586891621,0.5019607843137255,0.0677212450320702,5.0,43.80054095853225,0.139894350620625,2.7277042070394035,0.5582010582010583,0.8459957821878549,2.644302114764279,0.569920440636475
Xiphophorus hellerii,Green swordtail,Poeciliidae,freshwater,3,2,3,3,9.17,female choice on sword length,25,47.64603508887427,3.030991609985856,0.287821130659582,0.5882352941176471,0.0931744970522093,5.0,45.49903260507231,0.1863036058762427,2.5265242798779544,0.5027777777777778,0.8254137027330588,3.561342237317407,0.5615266635205286
Astatotilapia burtoni,Burton's mouthbrooder,Cichlidae,freshwater,3,3,3,3,10.0,classic sexual-selection model,20,24.82182112938993,2.3747447984506245,0.2411517228881986,0.4470588235294117,0.0108499239119981,6.0,39.9395382526697,0.2107785624546745,3.186247580669729,0.349362225806988,0.8840312534176357,2.707100921996285,0.6178897767374
Poecilia reticulata,Guppy,Poeciliidae,freshwater,3,3,3,3,10.0,THE model of female mate choice,25,33.359276142129524,2.168893605346918,0.2399458469481197,0.4235294117647059,0.0191839573432247,5.0,37.123629890651905,0.0621585138522851,1.7979939822330946,0.8833333333333333,0.891008547008547,1.9544999066678512,0.6916296296296296
Aulonocara stuartgranti,Peacock cichlid,Cichlidae,freshwater,3,3,3,3,10.0,"lek-like male display, female choice",18,34.42514699172571,3.2322848885947693,0.2615254066594557,0.4274509803921569,0.0073314367919227,5.0,30.38821714117413,0.211917901470047,2.601246407054554,0.5519354211242948,0.8448999218987114,2.9761441142781453,0.5195893867167974
